rank,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,signature,bucket,source_rank,unit_count,amount_cumulative_yen,proxy_score,note
1,2,1,2,2,2,2,1,2,2,1,2,2,1,2122221221221,base_hot,1,1,100,-5.881733,ベース90口。Hotでもまず1口だけ置く。
2,2,1,2,2,2,2,1,2,2,0,2,2,1,2122221220221,base_hot,2,1,200,-5.888588,ベース90口。Hotでもまず1口だけ置く。
3,2,1,2,0,2,2,1,2,2,1,2,2,1,2120221221221,base_hot,3,1,300,-5.927701,ベース90口。Hotでもまず1口だけ置く。
4,2,1,2,0,2,2,1,2,2,0,2,2,1,2120221220221,base_hot,4,1,400,-5.934556,ベース90口。Hotでもまず1口だけ置く。
5,2,1,2,2,2,2,0,2,2,1,2,2,1,2122220221221,base_hot,5,1,500,-5.945229,ベース90口。Hotでもまず1口だけ置く。
6,2,1,2,2,2,2,0,2,2,0,2,2,1,2122220220221,base_hot,6,1,600,-5.952084,ベース90口。Hotでもまず1口だけ置く。
7,2,1,2,0,2,2,0,2,2,1,2,2,1,2120220221221,base_hot,7,1,700,-5.991196,ベース90口。Hotでもまず1口だけ置く。
8,2,1,2,0,2,2,0,2,2,0,2,2,1,2120220220221,base_hot,8,1,800,-5.998051,ベース90口。Hotでもまず1口だけ置く。
9,2,1,2,2,2,2,2,2,2,1,2,2,1,2122222221221,base_hot,9,1,900,-6.035803,ベース90口。Hotでもまず1口だけ置く。
10,2,1,2,2,2,2,2,2,2,0,2,2,1,2122222220221,base_hot,10,1,1000,-6.042658,ベース90口。Hotでもまず1口だけ置く。
11,2,1,2,0,2,2,2,2,2,1,2,2,1,2120222221221,base_core,11,1,1100,-6.081770,ベース90口。Hotでもまず1口だけ置く。
12,2,1,2,0,2,2,2,2,2,0,2,2,1,2120222220221,base_core,12,1,1200,-6.088625,ベース90口。Hotでもまず1口だけ置く。
13,2,1,2,2,0,2,1,2,2,1,2,2,1,2122021221221,base_core,13,1,1300,-6.153392,ベース90口。Hotでもまず1口だけ置く。
14,2,1,2,2,0,2,1,2,2,0,2,2,1,2122021220221,base_core,14,1,1400,-6.160247,ベース90口。Hotでもまず1口だけ置く。
15,2,1,2,1,2,2,1,2,2,1,2,2,1,2121221221221,base_core,15,1,1500,-6.187189,ベース90口。Hotでもまず1口だけ置く。
16,2,1,2,1,2,2,1,2,2,0,2,2,1,2121221220221,base_core,16,1,1600,-6.194044,ベース90口。Hotでもまず1口だけ置く。
17,2,1,2,0,0,2,1,2,2,1,2,2,1,2120021221221,base_core,17,1,1700,-6.199359,ベース90口。Hotでもまず1口だけ置く。
