rank,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,signature,bucket,source_rank,unit_count,amount_cumulative_yen,proxy_score,note
38,2,1,2,0,2,2,2,2,2,2,2,2,1,2120222222221,base_core,38,1,3800,-6.415593,ベース190口。Hotでもまず1口だけ置く。
39,2,0,2,0,2,2,1,2,2,1,2,2,1,2020221221221,base_core,39,1,3900,-6.446602,ベース190口。Hotでもまず1口だけ置く。
40,2,0,2,0,2,2,1,2,2,0,2,2,1,2020221220221,base_core,40,1,4000,-6.453457,ベース190口。Hotでもまず1口だけ置く。
41,2,1,2,1,0,2,1,2,2,1,2,2,1,2121021221221,base_core,41,1,4100,-6.458847,ベース190口。Hotでもまず1口だけ置く。
42,2,0,2,2,2,2,0,2,2,1,2,2,1,2022220221221,base_core,42,1,4200,-6.464130,ベース190口。Hotでもまず1口だけ置く。
43,2,1,2,1,0,2,1,2,2,0,2,2,1,2121021220221,base_core,43,1,4300,-6.465702,ベース190口。Hotでもまず1口だけ置く。
44,2,0,2,2,2,2,0,2,2,0,2,2,1,2022220220221,base_core,44,1,4400,-6.470985,ベース190口。Hotでもまず1口だけ置く。
45,2,1,2,2,0,2,1,2,2,2,2,2,1,2122021222221,base_core,45,1,4500,-6.487214,ベース190口。Hotでもまず1口だけ置く。
46,2,0,2,0,2,2,0,2,2,1,2,2,1,2020220221221,base_core,46,1,4600,-6.510097,ベース190口。Hotでもまず1口だけ置く。
47,2,0,2,0,2,2,0,2,2,0,2,2,1,2020220220221,base_core,47,1,4700,-6.516952,ベース190口。Hotでもまず1口だけ置く。
48,2,1,2,1,2,2,1,2,2,2,2,2,1,2121221222221,base_core,48,1,4800,-6.521012,ベース190口。Hotでもまず1口だけ置く。
49,2,1,2,1,0,2,0,2,2,1,2,2,1,2121020221221,base_core,49,1,4900,-6.522342,ベース190口。Hotでもまず1口だけ置く。
50,2,1,2,1,0,2,0,2,2,0,2,2,1,2121020220221,base_core,50,1,5000,-6.529197,ベース190口。Hotでもまず1口だけ置く。
51,2,1,2,0,0,2,1,2,2,2,2,2,1,2120021222221,base_core,51,1,5100,-6.533182,ベース190口。Hotでもまず1口だけ置く。
52,2,1,2,2,0,2,0,2,2,2,2,2,1,2122020222221,base_core,52,1,5200,-6.550710,ベース190口。Hotでもまず1口だけ置く。
53,2,0,2,2,2,2,2,2,2,1,2,2,1,2022222221221,base_core,53,1,5300,-6.554704,ベース190口。Hotでもまず1口だけ置く。
54,2,0,2,2,2,2,2,2,2,0,2,2,1,2022222220221,base_core,54,1,5400,-6.561559,ベース190口。Hotでもまず1口だけ置く。
55,2,1,2,1,2,2,0,2,2,2,2,2,1,2121220222221,base_core,55,1,5500,-6.584507,ベース190口。Hotでもまず1口だけ置く。
56,2,1,2,0,0,2,0,2,2,2,2,2,1,2120020222221,base_core,56,1,5600,-6.596677,ベース190口。Hotでもまず1口だけ置く。
57,2,0,2,0,2,2,2,2,2,1,2,2,1,2020222221221,base_core,57,1,5700,-6.600671,ベース190口。Hotでもまず1口だけ置く。
58,2,0,2,0,2,2,2,2,2,0,2,2,1,2020222220221,base_core,58,1,5800,-6.607526,ベース190口。Hotでもまず1口だけ置く。
59,2,1,2,1,0,2,2,2,2,1,2,2,1,2121022221221,base_core,59,1,5900,-6.612917,ベース190口。Hotでもまず1口だけ置く。
60,2,1,2,1,0,2,2,2,2,0,2,2,1,2121022220221,base_core,60,1,6000,-6.619772,ベース190口。Hotでもまず1口だけ置く。
61,2,1,2,2,0,2,2,2,2,2,2,2,1,2122022222221,base_core,61,1,6100,-6.641284,ベース190口。Hotでもまず1口だけ置く。
62,2,0,2,2,0,2,1,2,2,1,2,2,1,2022021221221,base_core,62,1,6200,-6.672292,ベース190口。Hotでもまず1口だけ置く。
63,2,1,2,1,2,2,2,2,2,2,2,2,1,2121222222221,base_core,63,1,6300,-6.675081,ベース190口。Hotでもまず1口だけ置く。
64,2,0,2,2,0,2,1,2,2,0,2,2,1,2022021220221,base_core,64,1,6400,-6.679147,ベース190口。Hotでもまず1口だけ置く。
65,2,1,2,0,0,2,2,2,2,2,2,2,1,2120022222221,base_core,65,1,6500,-6.687251,ベース190口。Hotでもまず1口だけ置く。
66,2,0,2,1,2,2,1,2,2,1,2,2,1,2021221221221,base_core,66,1,6600,-6.706090,ベース190口。Hotでもまず1口だけ置く。
67,2,0,2,1,2,2,1,2,2,0,2,2,1,2021221220221,base_core,67,1,6700,-6.712945,ベース190口。Hotでもまず1口だけ置く。
68,2,0,2,0,0,2,1,2,2,1,2,2,1,2020021221221,base_core,68,1,6800,-6.718260,ベース190口。Hotでもまず1口だけ置く。
69,2,0,2,0,0,2,1,2,2,0,2,2,1,2020021220221,base_core,69,1,6900,-6.725115,ベース190口。Hotでもまず1口だけ置く。
70,2,1,0,2,2,2,1,2,2,1,2,2,1,2102221221221,base_core,70,1,7000,-6.727297,ベース190口。Hotでもまず1口だけ置く。
71,2,1,0,2,2,2,1,2,2,0,2,2,1,2102221220221,base_core,71,1,7100,-6.734152,ベース190口。Hotでもまず1口だけ置く。
72,2,0,2,2,2,2,1,2,2,2,2,2,1,2022221222221,base_core,72,1,7200,-6.734457,ベース190口。Hotでもまず1口だけ置く。
73,2,0,2,2,0,2,0,2,2,1,2,2,1,2022020221221,base_core,73,1,7300,-6.735788,ベース190口。Hotでもまず1口だけ置く。
74,2,0,2,2,0,2,0,2,2,0,2,2,1,2022020220221,base_core,74,1,7400,-6.742643,ベース190口。Hotでもまず1口だけ置く。
75,2,0,2,1,2,2,0,2,2,1,2,2,1,2021220221221,base_core,75,1,7500,-6.769585,ベース190口。Hotでもまず1口だけ置く。
76,2,1,0,0,2,2,1,2,2,1,2,2,1,2100221221221,base_core,76,1,7600,-6.773265,ベース190口。Hotでもまず1口だけ置く。
77,2,0,2,1,2,2,0,2,2,0,2,2,1,2021220220221,base_core,77,1,7700,-6.776440,ベース190口。Hotでもまず1口だけ置く。
78,2,1,0,0,2,2,1,2,2,0,2,2,1,2100221220221,base_core,78,1,7800,-6.780120,ベース190口。Hotでもまず1口だけ置く。
79,2,0,2,0,2,2,1,2,2,2,2,2,1,2020221222221,base_core,79,1,7900,-6.780425,ベース190口。Hotでもまず1口だけ置く。
80,2,0,2,0,0,2,0,2,2,1,2,2,1,2020020221221,base_core,80,1,8000,-6.781755,ベース190口。Hotでもまず1口だけ置く。
81,2,0,2,0,0,2,0,2,2,0,2,2,1,2020020220221,base_core,81,1,8100,-6.788610,ベース190口。Hotでもまず1口だけ置く。
82,2,1,0,2,2,2,0,2,2,1,2,2,1,2102220221221,base_core,82,1,8200,-6.790793,ベース190口。Hotでもまず1口だけ置く。
83,2,1,2,1,0,2,1,2,2,2,2,2,1,2121021222221,base_core,83,1,8300,-6.792670,ベース190口。Hotでもまず1口だけ置く。
84,2,1,0,2,2,2,0,2,2,0,2,2,1,2102220220221,base_core,84,1,8400,-6.797648,ベース190口。Hotでもまず1口だけ置く。
85,2,0,2,2,2,2,0,2,2,2,2,2,1,2022220222221,base_core,85,1,8500,-6.797953,ベース190口。Hotでもまず1口だけ置く。
86,2,0,2,2,0,2,2,2,2,1,2,2,1,2022022221221,base_core,86,1,8600,-6.826362,ベース190口。Hotでもまず1口だけ置く。
87,2,0,2,2,0,2,2,2,2,0,2,2,1,2022022220221,base_core,87,1,8700,-6.833217,ベース190口。Hotでもまず1口だけ置く。
88,2,1,0,0,2,2,0,2,2,1,2,2,1,2100220221221,base_core,88,1,8800,-6.836760,ベース190口。Hotでもまず1口だけ置く。
89,2,1,0,0,2,2,0,2,2,0,2,2,1,2100220220221,base_core,89,1,8900,-6.843615,ベース190口。Hotでもまず1口だけ置く。
90,2,0,2,0,2,2,0,2,2,2,2,2,1,2020220222221,base_core,90,1,9000,-6.843920,ベース190口。Hotでもまず1口だけ置く。
91,2,1,2,1,0,2,0,2,2,2,2,2,1,2121020222221,base_core,91,1,9100,-6.856165,ベース190口。Hotでもまず1口だけ置く。
92,2,0,2,1,2,2,2,2,2,1,2,2,1,2021222221221,base_core,92,1,9200,-6.860159,ベース190口。Hotでもまず1口だけ置く。
93,2,0,2,1,2,2,2,2,2,0,2,2,1,2021222220221,base_core,93,1,9300,-6.867014,ベース190口。Hotでもまず1口だけ置く。
94,2,0,2,0,0,2,2,2,2,1,2,2,1,2020022221221,base_core,94,1,9400,-6.872329,ベース190口。Hotでもまず1口だけ置く。
95,2,0,2,0,0,2,2,2,2,0,2,2,1,2020022220221,base_core,95,1,9500,-6.879184,ベース190口。Hotでもまず1口だけ置く。
96,2,1,0,2,2,2,2,2,2,1,2,2,1,2102222221221,base_core,96,1,9600,-6.881367,ベース190口。Hotでもまず1口だけ置く。
97,2,1,2,2,2,2,1,0,2,1,2,2,1,2122221021221,base_core,97,1,9700,-6.887012,ベース190口。Hotでもまず1口だけ置く。
98,2,1,0,2,2,2,2,2,2,0,2,2,1,2102222220221,base_core,98,1,9800,-6.888222,ベース190口。Hotでもまず1口だけ置く。
99,2,0,2,2,2,2,2,2,2,2,2,2,1,2022222222221,base_core,99,1,9900,-6.888527,ベース190口。Hotでもまず1口だけ置く。
100,2,1,2,2,2,2,1,0,2,0,2,2,1,2122221020221,base_core,100,1,10000,-6.893867,ベース190口。Hotでもまず1口だけ置く。
101,2,1,0,0,2,2,2,2,2,1,2,2,1,2100222221221,base_core,101,1,10100,-6.927334,ベース190口。Hotでもまず1口だけ置く。
102,2,1,2,0,2,2,1,0,2,1,2,2,1,2120221021221,base_core,102,1,10200,-6.932980,ベース190口。Hotでもまず1口だけ置く。
103,2,1,0,0,2,2,2,2,2,0,2,2,1,2100222220221,base_core,103,1,10300,-6.934189,ベース190口。Hotでもまず1口だけ置く。
104,2,0,2,0,2,2,2,2,2,2,2,2,1,2020222222221,base_core,104,1,10400,-6.934494,ベース190口。Hotでもまず1口だけ置く。
105,2,1,2,0,2,2,1,0,2,0,2,2,1,2120221020221,base_core,105,1,10500,-6.939835,ベース190口。Hotでもまず1口だけ置く。
106,2,1,2,1,0,2,2,2,2,2,2,2,1,2121022222221,base_core,106,1,10600,-6.946739,ベース190口。Hotでもまず1口だけ置く。
107,2,1,2,2,2,2,0,0,2,1,2,2,1,2122220021221,base_core,107,1,10700,-6.950508,ベース190口。Hotでもまず1口だけ置く。
108,2,1,2,2,2,2,0,0,2,0,2,2,1,2122220020221,base_core,108,1,10800,-6.957363,ベース190口。Hotでもまず1口だけ置く。
109,2,0,2,1,0,2,1,2,2,1,2,2,1,2021021221221,base_core,109,1,10900,-6.977748,ベース190口。Hotでもまず1口だけ置く。
110,2,0,2,1,0,2,1,2,2,0,2,2,1,2021021220221,base_core,110,1,11000,-6.984603,ベース190口。Hotでもまず1口だけ置く。
111,2,1,2,0,2,2,0,0,2,1,2,2,1,2120220021221,base_core,111,1,11100,-6.996475,ベース190口。Hotでもまず1口だけ置く。
112,2,1,0,2,0,2,1,2,2,1,2,2,1,2102021221221,base_core,112,1,11200,-6.998955,ベース190口。Hotでもまず1口だけ置く。
113,2,1,2,0,2,2,0,0,2,0,2,2,1,2120220020221,base_core,113,1,11300,-7.003330,ベース190口。Hotでもまず1口だけ置く。
114,2,1,0,2,0,2,1,2,2,0,2,2,1,2102021220221,base_core,114,1,11400,-7.005810,ベース190口。Hotでもまず1口だけ置く。
115,2,0,2,2,0,2,1,2,2,2,2,2,1,2022021222221,base_core,115,1,11500,-7.006115,ベース190口。Hotでもまず1口だけ置く。
116,2,1,0,1,2,2,1,2,2,1,2,2,1,2101221221221,base_core,116,1,11600,-7.032753,ベース190口。Hotでもまず1口だけ置く。
117,2,1,2,2,2,2,1,2,2,1,2,2,0,2122221221220,base_core,117,1,11700,-7.035217,ベース190口。Hotでもまず1口だけ置く。
118,2,1,0,1,2,2,1,2,2,0,2,2,1,2101221220221,base_core,118,1,11800,-7.039608,ベース190口。Hotでもまず1口だけ置く。
119,2,0,2,1,2,2,1,2,2,2,2,2,1,2021221222221,base_core,119,1,11900,-7.039913,ベース190口。Hotでもまず1口だけ置く。
120,2,1,2,2,2,2,2,0,2,1,2,2,1,2122222021221,base_core,120,1,12000,-7.041082,ベース190口。Hotでもまず1口だけ置く。
121,2,0,2,1,0,2,0,2,2,1,2,2,1,2021020221221,base_core,121,1,12100,-7.041243,ベース190口。Hotでもまず1口だけ置く。
122,2,1,2,2,2,2,1,2,2,0,2,2,0,2122221220220,base_core,122,1,12200,-7.042071,ベース190口。Hotでもまず1口だけ置く。
123,2,1,0,0,0,2,1,2,2,1,2,2,1,2100021221221,base_core,123,1,12300,-7.044923,ベース190口。Hotでもまず1口だけ置く。
124,2,1,2,2,2,2,2,0,2,0,2,2,1,2122222020221,base_core,124,1,12400,-7.047937,ベース190口。Hotでもまず1口だけ置く。
125,2,0,2,1,0,2,0,2,2,0,2,2,1,2021020220221,base_core,125,1,12500,-7.048098,ベース190口。Hotでもまず1口だけ置く。
126,2,1,0,0,0,2,1,2,2,0,2,2,1,2100021220221,base_core,126,1,12600,-7.051778,ベース190口。Hotでもまず1口だけ置く。
127,2,0,2,0,0,2,1,2,2,2,2,2,1,2020021222221,base_core,127,1,12700,-7.052083,ベース190口。Hotでもまず1口だけ置く。
128,2,1,0,2,2,2,1,2,2,2,2,2,1,2102221222221,base_core,128,1,12800,-7.061120,ベース190口。Hotでもまず1口だけ置く。
129,2,1,0,2,0,2,0,2,2,1,2,2,1,2102020221221,base_core,129,1,12900,-7.062451,ベース190口。Hotでもまず1口だけ置く。
130,2,1,0,2,0,2,0,2,2,0,2,2,1,2102020220221,base_core,130,1,13000,-7.069306,ベース190口。Hotでもまず1口だけ置く。
131,2,0,2,2,0,2,0,2,2,2,2,2,1,2022020222221,base_core,131,1,13100,-7.069611,ベース190口。Hotでもまず1口だけ置く。
132,2,1,2,0,2,2,1,2,2,1,2,2,0,2120221221220,base_core,132,1,13200,-7.081184,ベース190口。Hotでもまず1口だけ置く。
133,2,1,2,0,2,2,2,0,2,1,2,2,1,2120222021221,base_core,133,1,13300,-7.087049,ベース190口。Hotでもまず1口だけ置く。
134,2,1,2,0,2,2,1,2,2,0,2,2,0,2120221220220,base_core,134,1,13400,-7.088039,ベース190口。Hotでもまず1口だけ置く。
135,2,1,2,0,2,2,2,0,2,0,2,2,1,2120222020221,base_core,135,1,13500,-7.093904,ベース190口。Hotでもまず1口だけ置く。
136,2,1,0,1,2,2,0,2,2,1,2,2,1,2101220221221,base_core,136,1,13600,-7.096248,ベース190口。Hotでもまず1口だけ置く。
137,2,1,2,2,2,2,0,2,2,1,2,2,0,2122220221220,base_core,137,1,13700,-7.098712,ベース190口。Hotでもまず1口だけ置く。
138,2,1,0,1,2,2,0,2,2,0,2,2,1,2101220220221,base_core,138,1,13800,-7.103103,ベース190口。Hotでもまず1口だけ置く。
139,2,0,2,1,2,2,0,2,2,2,2,2,1,2021220222221,base_core,139,1,13900,-7.103408,ベース190口。Hotでもまず1口だけ置く。
140,2,1,2,2,2,2,0,2,2,0,2,2,0,2122220220220,base_core,140,1,14000,-7.105567,ベース190口。Hotでもまず1口だけ置く。
