rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,proxy_score,note
45,core,1,5500,2120021220221,2,1,2,0,0,2,1,2,2,0,2,2,1,-5.777040,暫定1637枠。最終再計算で残れば1口。
46,core,1,5600,2021221221221,2,0,2,1,2,2,1,2,2,1,2,2,1,-5.781726,暫定1637枠。最終再計算で残れば1口。
47,core,1,5700,2121021221221,2,1,2,1,0,2,1,2,2,1,2,2,1,-5.792388,暫定1637枠。最終再計算で残れば1口。
48,core,1,5800,2020222221221,2,0,2,0,2,2,2,2,2,1,2,2,1,-5.792463,暫定1637枠。最終再計算で残れば1口。
49,core,1,5900,2120022221221,2,1,2,0,0,2,2,2,2,1,2,2,1,-5.803125,暫定1637枠。最終再計算で残れば1口。
50,core,1,6000,2022222222221,2,0,2,2,2,2,2,2,2,2,2,2,1,-5.807009,暫定1637枠。最終再計算で残れば1口。
51,core,1,6100,2020220221221,2,0,2,0,2,2,0,2,2,1,2,2,1,-5.816688,暫定1637枠。最終再計算で残れば1口。
52,core,1,6200,2122022222221,2,1,2,2,0,2,2,2,2,2,2,2,1,-5.817671,暫定1637枠。最終再計算で残れば1口。
53,core,1,6300,2120020221221,2,1,2,0,0,2,0,2,2,1,2,2,1,-5.827350,暫定1637枠。最終再計算で残れば1口。
54,core,1,6400,2022220222221,2,0,2,2,2,2,0,2,2,2,2,2,1,-5.831234,暫定1637枠。最終再計算で残れば1口。
55,core,1,6500,2122020222221,2,1,2,2,0,2,0,2,2,2,2,2,1,-5.841896,暫定1637枠。最終再計算で残れば1口。
56,core,1,6600,2021221220221,2,0,2,1,2,2,1,2,2,0,2,2,1,-5.859213,暫定1637枠。最終再計算で残れば1口。
57,core,1,6700,2121021220221,2,1,2,1,0,2,1,2,2,0,2,2,1,-5.869875,暫定1637枠。最終再計算で残れば1口。
58,core,1,6800,2020222220221,2,0,2,0,2,2,2,2,2,0,2,2,1,-5.869950,暫定1637枠。最終再計算で残れば1口。
59,core,1,6900,2120022220221,2,1,2,0,0,2,2,2,2,0,2,2,1,-5.880612,暫定1637枠。最終再計算で残れば1口。
60,core,1,7000,2021222221221,2,0,2,1,2,2,2,2,2,1,2,2,1,-5.885298,暫定1637枠。最終再計算で残れば1口。
61,core,1,7100,2020220220221,2,0,2,0,2,2,0,2,2,0,2,2,1,-5.894175,暫定1637枠。最終再計算で残れば1口。
62,core,1,7200,2121022221221,2,1,2,1,0,2,2,2,2,1,2,2,1,-5.895961,暫定1637枠。最終再計算で残れば1口。
63,core,1,7300,2120020220221,2,1,2,0,0,2,0,2,2,0,2,2,1,-5.904837,暫定1637枠。最終再計算で残れば1口。
64,core,1,7400,2021220221221,2,0,2,1,2,2,0,2,2,1,2,2,1,-5.909523,暫定1637枠。最終再計算で残れば1口。
65,core,1,7500,2121020221221,2,1,2,1,0,2,0,2,2,1,2,2,1,-5.920186,暫定1637枠。最終再計算で残れば1口。
66,core,1,7600,2021222220221,2,0,2,1,2,2,2,2,2,0,2,2,1,-5.962785,暫定1637枠。最終再計算で残れば1口。
67,core,1,7700,2121022220221,2,1,2,1,0,2,2,2,2,0,2,2,1,-5.973447,暫定1637枠。最終再計算で残れば1口。
68,core,1,7800,2021220220221,2,0,2,1,2,2,0,2,2,0,2,2,1,-5.987010,暫定1637枠。最終再計算で残れば1口。
69,core,1,7900,2022021221221,2,0,2,2,0,2,1,2,2,1,2,2,1,-5.993869,暫定1637枠。最終再計算で残れば1口。
70,core,1,8000,2121020220221,2,1,2,1,0,2,0,2,2,0,2,2,1,-5.997673,暫定1637枠。最終再計算で残れば1口。
71,core,1,8100,2020221222221,2,0,2,0,2,2,1,2,2,2,2,2,1,-6.038890,暫定1637枠。最終再計算で残れば1口。
72,core,1,8200,2120021222221,2,1,2,0,0,2,1,2,2,2,2,2,1,-6.049553,暫定1637枠。最終再計算で残れば1口。
73,core,1,8300,2102221221221,2,1,0,2,2,2,1,2,2,1,2,2,1,-6.059129,暫定1637枠。最終再計算で残れば1口。
74,core,1,8400,2022021220221,2,0,2,2,0,2,1,2,2,0,2,2,1,-6.071356,暫定1637枠。最終再計算で残れば1口。
75,core,1,8500,2022022221221,2,0,2,2,0,2,2,2,2,1,2,2,1,-6.097442,暫定1637枠。最終再計算で残れば1口。
76,core,1,8600,2022020221221,2,0,2,2,0,2,0,2,2,1,2,2,1,-6.121667,暫定1637枠。最終再計算で残れば1口。
77,core,1,8700,2021221222221,2,0,2,1,2,2,1,2,2,2,2,2,1,-6.131726,暫定1637枠。最終再計算で残れば1口。
78,core,1,8800,2102221220221,2,1,0,2,2,2,1,2,2,0,2,2,1,-6.136616,暫定1637枠。最終再計算で残れば1口。
79,core,1,8900,2121021222221,2,1,2,1,0,2,1,2,2,2,2,2,1,-6.142388,暫定1637枠。最終再計算で残れば1口。
80,core,1,9000,2020222222221,2,0,2,0,2,2,2,2,2,2,2,2,1,-6.142463,暫定1637枠。最終再計算で残れば1口。
81,core,1,9100,2122221021221,2,1,2,2,2,2,1,0,2,1,2,2,1,-6.149951,暫定1637枠。最終再計算で残れば1口。
82,core,1,9200,2120022222221,2,1,2,0,0,2,2,2,2,2,2,2,1,-6.153125,暫定1637枠。最終再計算で残れば1口。
83,core,1,9300,2102222221221,2,1,0,2,2,2,2,2,2,1,2,2,1,-6.162702,暫定1637枠。最終再計算で残れば1口。
84,core,1,9400,2020220222221,2,0,2,0,2,2,0,2,2,2,2,2,1,-6.166688,暫定1637枠。最終再計算で残れば1口。
85,core,1,9500,2022022220221,2,0,2,2,0,2,2,2,2,0,2,2,1,-6.174929,暫定1637枠。最終再計算で残れば1口。
86,core,1,9600,2120020222221,2,1,2,0,0,2,0,2,2,2,2,2,1,-6.177350,暫定1637枠。最終再計算で残れば1口。
87,core,1,9700,2102220221221,2,1,0,2,2,2,0,2,2,1,2,2,1,-6.186927,暫定1637枠。最終再計算で残れば1口。
88,core,1,9800,2022020220221,2,0,2,2,0,2,0,2,2,0,2,2,1,-6.199154,暫定1637枠。最終再計算で残れば1口。
89,core,1,9900,2122221020221,2,1,2,2,2,2,1,0,2,0,2,2,1,-6.227438,暫定1637枠。最終再計算で残れば1口。
90,core,1,10000,2021222222221,2,0,2,1,2,2,2,2,2,2,2,2,1,-6.235298,暫定1637枠。最終再計算で残れば1口。
