plan_label,base_plan,unit_count,cost_yen,M01 エクアドル vs ドイツ,M02 日本 vs スウェーデン,M03 ウルグアイ vs スペイン,M04 コロンビア vs ポルトガル,M05 アルジェリア vs オーストリア,M06 チュニジア vs オランダ,M07 パラグアイ vs オーストラリア,M08 ノルウェー vs フランス,M09 パナマ vs イングランド,M10 コンゴ民主共和国 vs ウズベキスタン,M11 ヨルダン vs アルゼンチン,M12 ニュージーランド vs ベルギー,M13 クロアチア vs ガーナ,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,trigger,note
長穴保険128口,人力64口,128,12800,1/2,1/0,2,0/2,0/2,2,0/2,2,2,1/0,2,2,1/0,1/2,1/0,2,0/2,0/2,2,0/2,2,2,1/0,2,2,1/0,M01 Ecuador win market-over-public insurance,通常枠とは別。M01エクアドル勝ちを人力64口風シートに足す。
長穴保険192口,1636反省144口,192,19200,1/2,1/0,0/2,0/2,1/0/2,2,1/0,2,2,1,2,2,1/0,1/2,1/0,0/2,0/2,1/0/2,2,1/0,2,2,1,2,2,1/0,M01 Ecuador win market-over-public insurance,M01エクアドル勝ちを足し、M04を0/2へ絞って200口以内に収める。
