rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,proxy_score,note
45,core,1,5500,2122021222221,2,1,2,2,0,2,1,2,2,2,2,2,1,-6.487214,暫定1637枠。最終再計算で残れば1口。
46,core,1,5600,2020220221221,2,0,2,0,2,2,0,2,2,1,2,2,1,-6.510097,暫定1637枠。最終再計算で残れば1口。
47,core,1,5700,2020220220221,2,0,2,0,2,2,0,2,2,0,2,2,1,-6.516952,暫定1637枠。最終再計算で残れば1口。
48,core,1,5800,2121221222221,2,1,2,1,2,2,1,2,2,2,2,2,1,-6.521012,暫定1637枠。最終再計算で残れば1口。
49,core,1,5900,2121020221221,2,1,2,1,0,2,0,2,2,1,2,2,1,-6.522342,暫定1637枠。最終再計算で残れば1口。
50,core,1,6000,2121020220221,2,1,2,1,0,2,0,2,2,0,2,2,1,-6.529197,暫定1637枠。最終再計算で残れば1口。
51,core,1,6100,2120021222221,2,1,2,0,0,2,1,2,2,2,2,2,1,-6.533182,暫定1637枠。最終再計算で残れば1口。
52,core,1,6200,2122020222221,2,1,2,2,0,2,0,2,2,2,2,2,1,-6.550710,暫定1637枠。最終再計算で残れば1口。
53,core,1,6300,2022222221221,2,0,2,2,2,2,2,2,2,1,2,2,1,-6.554704,暫定1637枠。最終再計算で残れば1口。
54,core,1,6400,2022222220221,2,0,2,2,2,2,2,2,2,0,2,2,1,-6.561559,暫定1637枠。最終再計算で残れば1口。
55,core,1,6500,2121220222221,2,1,2,1,2,2,0,2,2,2,2,2,1,-6.584507,暫定1637枠。最終再計算で残れば1口。
56,core,1,6600,2120020222221,2,1,2,0,0,2,0,2,2,2,2,2,1,-6.596677,暫定1637枠。最終再計算で残れば1口。
57,core,1,6700,2020222221221,2,0,2,0,2,2,2,2,2,1,2,2,1,-6.600671,暫定1637枠。最終再計算で残れば1口。
58,core,1,6800,2020222220221,2,0,2,0,2,2,2,2,2,0,2,2,1,-6.607526,暫定1637枠。最終再計算で残れば1口。
59,core,1,6900,2121022221221,2,1,2,1,0,2,2,2,2,1,2,2,1,-6.612917,暫定1637枠。最終再計算で残れば1口。
60,core,1,7000,2121022220221,2,1,2,1,0,2,2,2,2,0,2,2,1,-6.619772,暫定1637枠。最終再計算で残れば1口。
61,core,1,7100,2122022222221,2,1,2,2,0,2,2,2,2,2,2,2,1,-6.641284,暫定1637枠。最終再計算で残れば1口。
62,core,1,7200,2022021221221,2,0,2,2,0,2,1,2,2,1,2,2,1,-6.672292,暫定1637枠。最終再計算で残れば1口。
63,core,1,7300,2121222222221,2,1,2,1,2,2,2,2,2,2,2,2,1,-6.675081,暫定1637枠。最終再計算で残れば1口。
64,core,1,7400,2022021220221,2,0,2,2,0,2,1,2,2,0,2,2,1,-6.679147,暫定1637枠。最終再計算で残れば1口。
65,core,1,7500,2120022222221,2,1,2,0,0,2,2,2,2,2,2,2,1,-6.687251,暫定1637枠。最終再計算で残れば1口。
66,core,1,7600,2021221221221,2,0,2,1,2,2,1,2,2,1,2,2,1,-6.706090,暫定1637枠。最終再計算で残れば1口。
67,core,1,7700,2021221220221,2,0,2,1,2,2,1,2,2,0,2,2,1,-6.712945,暫定1637枠。最終再計算で残れば1口。
68,core,1,7800,2020021221221,2,0,2,0,0,2,1,2,2,1,2,2,1,-6.718260,暫定1637枠。最終再計算で残れば1口。
69,core,1,7900,2020021220221,2,0,2,0,0,2,1,2,2,0,2,2,1,-6.725115,暫定1637枠。最終再計算で残れば1口。
70,core,1,8000,2102221221221,2,1,0,2,2,2,1,2,2,1,2,2,1,-6.727297,暫定1637枠。最終再計算で残れば1口。
71,core,1,8100,2102221220221,2,1,0,2,2,2,1,2,2,0,2,2,1,-6.734152,暫定1637枠。最終再計算で残れば1口。
72,core,1,8200,2022221222221,2,0,2,2,2,2,1,2,2,2,2,2,1,-6.734457,暫定1637枠。最終再計算で残れば1口。
73,core,1,8300,2022020221221,2,0,2,2,0,2,0,2,2,1,2,2,1,-6.735788,暫定1637枠。最終再計算で残れば1口。
74,core,1,8400,2022020220221,2,0,2,2,0,2,0,2,2,0,2,2,1,-6.742643,暫定1637枠。最終再計算で残れば1口。
75,core,1,8500,2021220221221,2,0,2,1,2,2,0,2,2,1,2,2,1,-6.769585,暫定1637枠。最終再計算で残れば1口。
76,core,1,8600,2100221221221,2,1,0,0,2,2,1,2,2,1,2,2,1,-6.773265,暫定1637枠。最終再計算で残れば1口。
77,core,1,8700,2021220220221,2,0,2,1,2,2,0,2,2,0,2,2,1,-6.776440,暫定1637枠。最終再計算で残れば1口。
78,core,1,8800,2100221220221,2,1,0,0,2,2,1,2,2,0,2,2,1,-6.780120,暫定1637枠。最終再計算で残れば1口。
79,core,1,8900,2020221222221,2,0,2,0,2,2,1,2,2,2,2,2,1,-6.780425,暫定1637枠。最終再計算で残れば1口。
80,core,1,9000,2020020221221,2,0,2,0,0,2,0,2,2,1,2,2,1,-6.781755,暫定1637枠。最終再計算で残れば1口。
81,core,1,9100,2020020220221,2,0,2,0,0,2,0,2,2,0,2,2,1,-6.788610,暫定1637枠。最終再計算で残れば1口。
82,core,1,9200,2102220221221,2,1,0,2,2,2,0,2,2,1,2,2,1,-6.790793,暫定1637枠。最終再計算で残れば1口。
83,core,1,9300,2121021222221,2,1,2,1,0,2,1,2,2,2,2,2,1,-6.792670,暫定1637枠。最終再計算で残れば1口。
84,core,1,9400,2102220220221,2,1,0,2,2,2,0,2,2,0,2,2,1,-6.797648,暫定1637枠。最終再計算で残れば1口。
85,core,1,9500,2022220222221,2,0,2,2,2,2,0,2,2,2,2,2,1,-6.797953,暫定1637枠。最終再計算で残れば1口。
86,core,1,9600,2022022221221,2,0,2,2,0,2,2,2,2,1,2,2,1,-6.826362,暫定1637枠。最終再計算で残れば1口。
87,core,1,9700,2022022220221,2,0,2,2,0,2,2,2,2,0,2,2,1,-6.833217,暫定1637枠。最終再計算で残れば1口。
88,core,1,9800,2100220221221,2,1,0,0,2,2,0,2,2,1,2,2,1,-6.836760,暫定1637枠。最終再計算で残れば1口。
89,core,1,9900,2100220220221,2,1,0,0,2,2,0,2,2,0,2,2,1,-6.843615,暫定1637枠。最終再計算で残れば1口。
90,core,1,10000,2020220222221,2,0,2,0,2,2,0,2,2,2,2,2,1,-6.843920,暫定1637枠。最終再計算で残れば1口。
