rank,bucket,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,note
59,hedge,5900,1202111012111,1,2,0,2,1,1,1,0,1,2,1,1,1,追加ヘッジ
60,hedge,6000,1202111110111,1,2,0,2,1,1,1,1,1,0,1,1,1,追加ヘッジ
61,hedge,6100,1202101112111,1,2,0,2,1,0,1,1,1,2,1,1,1,追加ヘッジ
62,hedge,6200,1212111112011,1,2,1,2,1,1,1,1,1,2,0,1,1,追加ヘッジ
63,hedge,6300,1202111212111,1,2,0,2,1,1,1,2,1,2,1,1,1,追加ヘッジ
64,hedge,6400,1212111112101,1,2,1,2,1,1,1,1,1,2,1,0,1,追加ヘッジ
65,hedge,6500,1212011010111,1,2,1,2,0,1,1,0,1,0,1,1,1,追加ヘッジ
66,hedge,6600,1212001012111,1,2,1,2,0,0,1,0,1,2,1,1,1,追加ヘッジ
67,hedge,6700,1212111112110,1,2,1,2,1,1,1,1,1,2,1,1,0,追加ヘッジ
68,hedge,6800,1212110010111,1,2,1,2,1,1,0,0,1,0,1,1,1,追加ヘッジ
69,hedge,6900,1212001110111,1,2,1,2,0,0,1,1,1,0,1,1,1,追加ヘッジ
70,hedge,7000,1212100012111,1,2,1,2,1,0,0,0,1,2,1,1,1,追加ヘッジ
71,hedge,7100,1212100110111,1,2,1,2,1,0,0,1,1,0,1,1,1,追加ヘッジ
72,hedge,7200,0212111010111,0,2,1,2,1,1,1,0,1,0,1,1,1,追加ヘッジ
73,hedge,7300,0212101012111,0,2,1,2,1,0,1,0,1,2,1,1,1,追加ヘッジ
74,hedge,7400,0212101110111,0,2,1,2,1,0,1,1,1,0,1,1,1,追加ヘッジ
75,hedge,7500,1212111002111,1,2,1,2,1,1,1,0,0,2,1,1,1,追加ヘッジ
76,hedge,7600,1212021112111,1,2,1,2,0,2,1,1,1,2,1,1,1,追加ヘッジ
