plan_label,base_plan,unit_count,cost_yen,M01 エクアドル vs ドイツ,M02 日本 vs スウェーデン,M03 ウルグアイ vs スペイン,M04 コロンビア vs ポルトガル,M05 アルジェリア vs オーストリア,M06 チュニジア vs オランダ,M07 パラグアイ vs オーストラリア,M08 ノルウェー vs フランス,M09 パナマ vs イングランド,M10 コンゴ民主共和国 vs ウズベキスタン,M11 ヨルダン vs アルゼンチン,M12 ニュージーランド vs ベルギー,M13 クロアチア vs ガーナ,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,trigger,note
Longshot insurance 128,Manual 64 units,128,12800,1/2,1/0,2,0/2,0/2,2,0/2,2,2,1/0,2,2,1/0,1/2,1/0,2,0/2,0/2,2,0/2,2,2,1/0,2,2,1/0,M01 Ecuador win market-over-public insurance,Separate from normal plans. Add M01 Ecuador win to the manual 64-style sheet.
Longshot insurance 192,1636 reflection 144 units,192,19200,1/2,1/0,0/2,0/2,1/0/2,2,1/0,2,2,1,2,2,1/0,1/2,1/0,0/2,0/2,1/0/2,2,1/0,2,2,1,2,2,1/0,M01 Ecuador win market-over-public insurance,"Add M01 Ecuador win, then cut M04 to 0/2 so the sheet stays under 200 units."
